 2.00000000e-14  6.68925859e-01 
 2.08596224e-14  6.68615418e-01 
 2.25788672e-14  6.68855199e-01 
 2.60173568e-14  6.71649582e-01 
 3.28943360e-14  6.77855131e-01 
 4.48530853e-14  6.86868568e-01 
 5.96101032e-14  6.96394591e-01 
 8.53786501e-14  7.10496539e-01 
 1.36915744e-13  7.31655551e-01 
 2.39989931e-13  7.55310755e-01 
 4.46138306e-13  7.65146842e-01 
 8.58435057e-13  7.48737745e-01 
 1.42921753e-12  7.22789613e-01 
 2.00000000e-12  6.98602369e-01 
 2.11415649e-12  6.93781643e-01 
 2.34246948e-12  6.84249366e-01 
 2.79909546e-12  6.65634434e-01 
 3.71234742e-12  6.29853892e-01 
 5.53885132e-12  5.63679184e-01 
 7.53885132e-12  4.98669229e-01 
 9.53885132e-12  4.40809105e-01 
 1.15388513e-11  3.89833703e-01 
 1.35388513e-11  3.45425209e-01 
 1.55388513e-11  3.07149892e-01 
 1.75388513e-11  2.74526189e-01 
 1.95388513e-11  2.47053345e-01 
 2.15388513e-11  2.24235723e-01 
 2.35388513e-11  2.05585037e-01 
 2.55388513e-11  1.90638032e-01 
 2.75388513e-11  1.78958234e-01 
 2.95388513e-11  1.70150477e-01 
 3.15388513e-11  1.63858042e-01 
 3.35388513e-11  1.59769995e-01 
 3.55388513e-11  1.57613212e-01 
 3.75388513e-11  1.57154924e-01 
 3.95388513e-11  1.58192736e-01 
 4.15388513e-11  1.60555334e-01 
 4.35388513e-11  1.64092574e-01 
 4.55388513e-11  1.68676063e-01 
 4.75388513e-11  1.74190428e-01 
 4.95388513e-11  1.80534658e-01 
 5.15388513e-11  1.87614981e-01 
 5.35388513e-11  1.95347225e-01 
 5.55388513e-11  2.03651193e-01 
 5.75388513e-11  2.12453797e-01 
 5.95388513e-11  2.21684489e-01 
 6.15388513e-11  2.31278758e-01 
 6.35388513e-11  2.41174135e-01 
 6.55388513e-11  2.51313739e-01 
 6.75388513e-11  2.61642568e-01 
 6.95388513e-11  2.72110932e-01 
 7.15388513e-11  2.82670900e-01 
 7.35388513e-11  2.93279597e-01 
 7.55388513e-11  3.03895752e-01 
 7.75388513e-11  3.14482862e-01 
 7.95388513e-11  3.25005817e-01 
 8.15388513e-11  3.35433919e-01 
 8.35388513e-11  3.45737509e-01 
 8.55388513e-11  3.55890776e-01 
 8.75388513e-11  3.65868269e-01 
 8.95388513e-11  3.75647461e-01 
 9.15388513e-11  3.85205181e-01 
 9.35388513e-11  3.94520153e-01 
 9.55388513e-11  4.03569716e-01 
 9.75388513e-11  4.12332741e-01 
 9.95388513e-11  4.20786893e-01 
